SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
2404,Lyman County,South Dakota,2921,3789,,
2405,McCook County,South Dakota,2797,5610,"Sioux Falls, SD Metropolitan Statistical Area",
2406,McPherson County,South Dakota,3011,2439,,
2407,Marshall County,South Dakota,2859,4671,,
2408,Meade County,South Dakota,1559,26052,"Rapid City, SD Metropolitan Statistical Area","Rapid City-Spearfish, SD Combined Statistical Area"
2409,Mellette County,South Dakota,3043,2101,,
2410,Miner County,South Dakota,3023,2326,,
2411,Minnehaha County,South Dakota,357,"1,75,037","Sioux Falls, SD Metropolitan Statistical Area",
2412,Moody County,South Dakota,2729,6446,,
2413,Pennington County,South Dakota,565,"1,04,347","Rapid City, SD Metropolitan Statistical Area","Rapid City-Spearfish, SD Combined Statistical Area"
2414,Perkins County,South Dakota,2976,3037,,
2415,Potter County,South Dakota,3021,2359,,
2416,Roberts County,South Dakota,2414,10303,,
2417,Sanborn County,South Dakota,3024,2324,,
2418,Shannon County,South Dakota,2172,14059,,
2419,Spink County,South Dakota,2714,6611,,
2420,Stanley County,South Dakota,2983,2969,"Pierre, SD Micropolitan Statistical Area",
2421,Sully County,South Dakota,3087,1427,"Pierre, SD Micropolitan Statistical Area",
2422,Todd County,South Dakota,2448,9942,,
2423,Tripp County,South Dakota,2807,5485,,
2424,Turner County,South Dakota,2582,8308,"Sioux Falls, SD Metropolitan Statistical Area",
2425,Union County,South Dakota,2118,14855,"Sioux City, IA-NE-SD Metropolitan Statistical Area","Sioux City-Vermillion, IA-SD-NE Combined Statistical Area"
2426,Walworth County,South Dakota,2808,5459,,
2427,Yankton County,South Dakota,1705,22603,"Yankton, SD Micropolitan Statistical Area",
2428,Ziebach County,South Dakota,2988,2869,,
2429,Anderson County,Tennessee,727,75416,"Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2430,Bedford County,Tennessee,1056,45573,"Shelbyville, TN Micropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2431,Benton County,Tennessee,2021,16361,,
2432,Bledsoe County,Tennessee,2251,12792,,
2433,Blount County,Tennessee,493,"1,24,177","Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2434,Bradley County,Tennessee,580,"1,01,134","Cleveland, TN Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2435,Campbell County,Tennessee,1168,40420,"Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2436,Cannon County,Tennessee,2186,13811,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2437,Carroll County,Tennessee,1475,28390,,
2438,Carter County,Tennessee,888,57355,"Johnson City, TN Metropolitan Statistical Area","Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
2439,Cheatham County,Tennessee,1191,39271,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2440,Chester County,Tennessee,1967,17171,"Jackson, TN Metropolitan Statistical Area",
2441,Claiborne County,Tennessee,1395,31736,,
2442,Clay County,Tennessee,2611,7840,,
2443,Cocke County,Tennessee,1286,35571,"Newport, TN Micropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2444,Coffee County,Tennessee,935,53222,"Tullahoma-Manchester, TN Micropolitan Statistical Area",
2445,Crockett County,Tennessee,2130,14623,"Jackson, TN Metropolitan Statistical Area",
2446,Cumberland County,Tennessee,890,57029,"Crossville, TN Micropolitan Statistical Area",
2447,Davidson County,Tennessee,95,"6,48,295","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2448,Decatur County,Tennessee,2319,11673,,
2449,DeKalb County,Tennessee,1879,18901,,
2450,Dickson County,Tennessee,973,50381,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2451,Dyer County,Tennessee,1210,38255,"Dyersburg, TN Micropolitan Statistical Area",
2452,Fayette County,Tennessee,1206,38659,"Memphis, TN-MS-AR Metropolitan Statistical Area","Memphis-Forrest City, TN-MS-AR Combined Statistical Area"
2453,Fentress County,Tennessee,1923,17940,,
2454,Franklin County,Tennessee,1160,40772,"Tullahoma-Manchester, TN Micropolitan Statistical Area",
2455,Gibson County,Tennessee,990,49626,,
2456,Giles County,Tennessee,1448,29072,,
2457,Grainger County,Tennessee,1700,22706,"Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2458,Greene County,Tennessee,771,68819,"Greeneville, TN Micropolitan Statistical Area",
2459,Grundy County,Tennessee,2202,13650,,
2460,Hamblen County,Tennessee,833,62746,"Morristown, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2461,Hamilton County,Tennessee,191,"3,45,545","Chattanooga, TN-GA Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2462,Hancock County,Tennessee,2705,6720,,
2463,Hardeman County,Tennessee,1545,26533,,
2464,Hardin County,Tennessee,1566,25950,,
2465,Hawkins County,Tennessee,896,56587,"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area","Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
2466,Haywood County,Tennessee,1909,18240,,
2467,Henderson County,Tennessee,1493,28023,,
2468,Henry County,Tennessee,1382,32341,"Paris, TN Micropolitan Statistical Area",
2469,Hickman County,Tennessee,1635,24170,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2470,Houston County,Tennessee,2571,8413,,
2471,Humphreys County,Tennessee,1908,18275,,
2472,Jackson County,Tennessee,2329,11441,"Cookeville, TN Micropolitan Statistical Area",
2473,Jefferson County,Tennessee,952,52191,"Morristown, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2474,Johnson County,Tennessee,1916,18095,,
2475,Knox County,Tennessee,152,"4,41,311","Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2476,Lake County,Tennessee,2628,7690,,
2477,Lauderdale County,Tennessee,1503,27718,,
2478,Lawrence County,Tennessee,1127,42086,"Lawrenceburg, TN Micropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2479,Lewis County,Tennessee,2303,11896,,
2480,Lincoln County,Tennessee,1338,33503,,
2481,Loudon County,Tennessee,985,49793,"Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2482,McMinn County,Tennessee,948,52416,"Athens, TN Micropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2483,McNairy County,Tennessee,1556,26180,,
2484,Macon County,Tennessee,1711,22498,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2485,Madison County,Tennessee,594,98656,"Jackson, TN Metropolitan Statistical Area",
2486,Marion County,Tennessee,1478,28291,"Chattanooga, TN-GA Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2487,Marshall County,Tennessee,1413,30883,"Lewisburg, TN Micropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2488,Maury County,Tennessee,675,81990,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2489,Meigs County,Tennessee,2317,11698,,
2490,Monroe County,Tennessee,1064,45133,,
2491,Montgomery County,Tennessee,343,"1,84,468","Clarksville, TN-KY Metropolitan Statistical Area",
2492,Moore County,Tennessee,2737,6339,"Tullahoma-Manchester, TN Micropolitan Statistical Area",
2493,Morgan County,Tennessee,1734,21931,"Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2494,Obion County,Tennessee,1407,31340,"Union City, TN-KY Micropolitan Statistical Area","Martin-Union City, TN-KY Combined Statistical Area"
2495,Overton County,Tennessee,1724,22190,"Cookeville, TN Micropolitan Statistical Area",
2496,Perry County,Tennessee,2610,7860,,
2497,Pickett County,Tennessee,2832,5100,,
2498,Polk County,Tennessee,1998,16686,"Cleveland, TN Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2499,Putnam County,Tennessee,742,73229,"Cookeville, TN Micropolitan Statistical Area",
2500,Rhea County,Tennessee,1383,32247,"Dayton, TN Micropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2501,Roane County,Tennessee,930,53469,"Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2502,Robertson County,Tennessee,788,66931,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2503,Rutherford County,Tennessee,242,"2,74,454","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2504,Scott County,Tennessee,1725,22173,,
2505,Sequatchie County,Tennessee,2143,14423,"Chattanooga, TN-GA Metropolitan Statistical Area","Chattanooga-Cleveland-Dalton, TN-GA-AL Combined Statistical Area"
2506,Sevier County,Tennessee,626,92512,"Sevierville, TN Micropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2507,Shelby County,Tennessee,50,"9,40,764","Memphis, TN-MS-AR Metropolitan Statistical Area","Memphis-Forrest City, TN-MS-AR Combined Statistical Area"
2508,Smith County,Tennessee,1869,19102,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2509,Stewart County,Tennessee,2224,13297,,
2510,Sullivan County,Tennessee,401,"1,56,786","Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area","Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
2511,Sumner County,Tennessee,377,"1,66,123","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2512,Tipton County,Tennessee,843,61705,"Memphis, TN-MS-AR Metropolitan Statistical Area","Memphis-Forrest City, TN-MS-AR Combined Statistical Area"
2513,Trousdale County,Tennessee,2617,7795,"Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2514,Unicoi County,Tennessee,1910,18235,"Johnson City, TN Metropolitan Statistical Area","Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
2515,Union County,Tennessee,1868,19127,"Knoxville, TN Metropolitan Statistical Area","Knoxville-Morristown-Sevierville, TN Combined Statistical Area"
2516,Van Buren County,Tennessee,2793,5628,,
2517,Warren County,Tennessee,1174,39839,"McMinnville, TN Micropolitan Statistical Area",
2518,Washington County,Tennessee,490,"1,25,094","Johnson City, TN Metropolitan Statistical Area","Johnson City-Kingsport-Bristol, TN-VA Combined Statistical Area"
2519,Wayne County,Tennessee,1982,16996,,
2520,Weakley County,Tennessee,1305,34793,"Martin, TN Micropolitan Statistical Area","Martin-Union City, TN-KY Combined Statistical Area"
2521,White County,Tennessee,1558,26082,,
2522,Williamson County,Tennessee,330,"1,92,911","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2523,Wilson County,Tennessee,511,"1,18,961","Nashville-Davidson–Murfreesboro–Franklin, TN Metropolitan Statistical Area","Nashville-Davidson–Murfreesboro, TN Combined Statistical Area"
2524,Anderson County,Texas,880,58190,"Palestine, TX Micropolitan Statistical Area",
2525,Andrews County,Texas,2038,16117,"Andrews, TX Micropolitan Statistical Area",
2526,Angelina County,Texas,650,87597,"Lufkin, TX Micropolitan Statistical Area",
2527,Aransas County,Texas,1652,23818,"Corpus Christi, TX Metropolitan Statistical Area","Corpus Christi-Kingsville-Alice, TX Combined Statistical Area"
2528,Archer County,Texas,2540,8735,"Wichita Falls, TX Metropolitan Statistical Area",
2529,Armstrong County,Texas,3061,1944,"Amarillo, TX Metropolitan Statistical Area","Amarillo-Borger, TX Combined Statistical Area"
2530,Atascosa County,Texas,1041,46446,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2531,Austin County,Texas,1462,28618,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2532,Bailey County,Texas,2670,7130,,
2533,Bandera County,Texas,1811,20537,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2534,Bastrop County,Texas,731,74763,"Austin-Round Rock, TX Metropolitan Statistical Area",
2535,Baylor County,Texas,2933,3623,,
2536,Bee County,Texas,1376,32527,"Beeville, TX Micropolitan Statistical Area",
2537,Bell County,Texas,202,"3,23,037","Killeen-Temple, TX Metropolitan Statistical Area",
2538,Bexar County,Texas,19,"17,85,704","San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2539,Blanco County,Texas,2383,10655,,
2540,Borden County,Texas,3134,616,,
2541,Bosque County,Texas,1914,18125,,
2542,Bowie County,Texas,619,93148,"Texarkana, TX-AR Metropolitan Statistical Area",
2543,Brazoria County,Texas,199,"3,24,769","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2544,Brazos County,Texas,314,"2,00,665","College Station-Bryan, TX Metropolitan Statistical Area",
2545,Brewster County,Texas,2491,9316,,
2546,Briscoe County,Texas,3080,1561,,
2547,Brooks County,Texas,2663,7161,,
2548,Brown County,Texas,1226,37825,"Brownwood, TX Micropolitan Statistical Area",
2549,Burleson County,Texas,1962,17291,"College Station-Bryan, TX Metropolitan Statistical Area",
2550,Burnet County,Texas,1100,43448,,
2551,Caldwell County,Texas,1202,38734,"Austin-Round Rock, TX Metropolitan Statistical Area",
2552,Calhoun County,Texas,1748,21609,"Port Lavaca, TX Micropolitan Statistical Area","Victoria-Port Lavaca, TX Combined Statistical Area"
2553,Callahan County,Texas,2213,13517,"Abilene, TX Metropolitan Statistical Area",
2554,Cameron County,Texas,164,"4,15,557","Brownsville-Harlingen, TX Metropolitan Statistical Area","Brownsville-Harlingen-Raymondville, TX Combined Statistical Area"
2555,Camp County,Texas,2275,12449,,
2556,Carson County,Texas,2747,6157,"Amarillo, TX Metropolitan Statistical Area","Amarillo-Borger, TX Combined Statistical Area"
2557,Cass County,Texas,1426,30166,,
2558,Castro County,Texas,2593,8164,,
2559,Chambers County,Texas,1271,36196,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2560,Cherokee County,Texas,967,51206,"Jacksonville, TX Micropolitan Statistical Area","Tyler-Jacksonville, TX Combined Statistical Area"
2561,Childress County,Texas,2680,7029,,
2562,Clay County,Texas,2394,10535,"Wichita Falls, TX Metropolitan Statistical Area",
2563,Cochran County,Texas,2974,3046,,
2564,Coke County,Texas,2958,3231,,
2565,Coleman County,Texas,2553,8675,,
2566,Collin County,Texas,65,"8,34,642","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2567,Collingsworth County,Texas,2977,3036,,
2568,Colorado County,Texas,1798,20696,,
2569,Comal County,Texas,528,"1,14,384","San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2570,Comanche County,Texas,2192,13765,,
2571,Concho County,Texas,2903,4010,,
2572,Cooke County,Texas,1204,38688,"Gainesville, TX Micropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2573,Coryell County,Texas,707,77231,"Killeen-Temple, TX Metropolitan Statistical Area",
2574,Cottle County,Texas,3083,1486,,
2575,Crane County,Texas,2865,4562,,
2576,Crockett County,Texas,2927,3743,,
2577,Crosby County,Texas,2750,6126,"Lubbock, TX Metropolitan Statistical Area","Lubbock-Levelland, TX Combined Statistical Area"
2578,Culberson County,Texas,3029,2290,,
2579,Dallam County,Texas,2685,6996,,
2580,Dallas County,Texas,9,"24,53,843","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2581,Dawson County,Texas,2203,13640,"Lamesa, TX Micropolitan Statistical Area",
2582,Deaf Smith County,Texas,1862,19360,"Hereford, TX Micropolitan Statistical Area",
2583,Delta County,Texas,2815,5329,,
2584,Denton County,Texas,85,"7,07,304","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2585,DeWitt County,Texas,1818,20465,,
2586,Dickens County,Texas,3025,2323,,
2587,Dimmit County,Texas,2398,10461,,
2588,Donley County,Texas,2936,3598,,
2589,Duval County,Texas,2316,11717,,
2590,Eastland County,Texas,1899,18421,,
2591,Ector County,Texas,439,"1,44,325","Odessa, TX Metropolitan Statistical Area","Midland-Odessa, TX Combined Statistical Area"
2592,Edwards County,Texas,3057,1968,,
2593,Ellis County,Texas,409,"1,53,969","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2594,El Paso County,Texas,66,"8,27,398","El Paso, TX Metropolitan Statistical Area","El Paso-Las Cruces, TX-NM Combined Statistical Area"
2595,Erath County,Texas,1190,39321,"Stephenville, TX Micropolitan Statistical Area",
2596,Falls County,Texas,1941,17610,"Waco, TX Metropolitan Statistical Area",
2597,Fannin County,Texas,1332,33831,,
2598,Fayette County,Texas,1616,24695,,
2599,Fisher County,Texas,2918,3844,,
2600,Floyd County,Texas,2734,6367,,
2601,Foard County,Texas,3095,1307,,
2602,Fort Bend County,Texas,102,"6,27,293","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2603,Franklin County,Texas,2385,10640,,
2604,Freestone County,Texas,1856,19515,,
2605,Frio County,Texas,1934,17702,,
2606,Gaines County,Texas,1901,18413,,
2607,Galveston County,Texas,217,"3,00,484","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2608,Garza County,Texas,2731,6412,,
2609,Gillespie County,Texas,1602,25153,"Fredericksburg, TX Micropolitan Statistical Area",
2610,Glasscock County,Texas,3099,1259,"Big Spring, TX Micropolitan Statistical Area",
2611,Goliad County,Texas,2650,7351,"Victoria, TX Metropolitan Statistical Area","Victoria-Port Lavaca, TX Combined Statistical Area"
2612,Gonzales County,Texas,1838,20045,,
2613,Gray County,Texas,1690,22978,"Pampa, TX Micropolitan Statistical Area",
2614,Grayson County,Texas,503,"1,21,935","Sherman-Denison, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2615,Gregg County,Texas,498,"1,22,658","Longview, TX Metropolitan Statistical Area","Longview-Marshall, TX Combined Statistical Area"
2616,Grimes County,Texas,1536,26783,,
2617,Guadalupe County,Texas,448,"1,39,841","San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2618,Hale County,Texas,1266,36385,"Plainview, TX Micropolitan Statistical Area",
2619,Hall County,Texas,2954,3293,,
2620,Hamilton County,Texas,2583,8307,,
2621,Hansford County,Texas,2803,5521,,
2622,Hardeman County,Texas,2896,4082,,
2623,Hardin County,Texas,910,55190,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",
2624,Harris County,Texas,3,"42,53,700","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2625,Harrison County,Texas,785,67450,"Marshall, TX Micropolitan Statistical Area","Longview-Marshall, TX Combined Statistical Area"
2626,Hartley County,Texas,2749,6144,,
2627,Haskell County,Texas,2774,5901,,
2628,Hays County,Texas,366,"1,68,990","Austin-Round Rock, TX Metropolitan Statistical Area",
2629,Hemphill County,Texas,2898,4080,,
2630,Henderson County,Texas,695,79094,"Athens, TX Micropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2631,Hidalgo County,Texas,72,"8,06,552","McAllen-Edinburg-Mission, TX Metropolitan Statistical Area","McAllen-Edinburg, TX Combined Statistical Area"
2632,Hill County,Texas,1298,35115,,
2633,Hockley County,Texas,1686,23072,"Levelland, TX Micropolitan Statistical Area","Lubbock-Levelland, TX Combined Statistical Area"
2634,Hood County,Texas,954,52044,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2635,Hopkins County,Texas,1289,35469,"Sulphur Springs, TX Micropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2636,Houston County,Texas,1682,23161,,
2637,Howard County,Texas,1291,35408,"Big Spring, TX Micropolitan Statistical Area",
2638,Hudspeth County,Texas,2953,3337,"El Paso, TX Metropolitan Statistical Area","El Paso-Las Cruces, TX-NM Combined Statistical Area"
2639,Hunt County,Texas,652,87079,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2640,Hutchinson County,Texas,1735,21922,"Borger, TX Micropolitan Statistical Area","Amarillo-Borger, TX Combined Statistical Area"
2641,Irion County,Texas,3079,1573,"San Angelo, TX Metropolitan Statistical Area",
2642,Jack County,Texas,2523,8983,,
2643,Jackson County,Texas,2158,14255,,
2644,Jasper County,Texas,1278,35923,,
2645,Jeff Davis County,Texas,3028,2307,,
2646,Jefferson County,Texas,262,"2,51,813","Beaumont-Port Arthur, TX Metropolitan Statistical Area",
2647,Jim Hogg County,Texas,2823,5249,,
2648,Jim Wells County,Texas,1134,41754,"Alice, TX Micropolitan Statistical Area","Corpus Christi-Kingsville-Alice, TX Combined Statistical Area"
2649,Johnson County,Texas,412,"1,53,441","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2650,Jones County,Texas,1842,19973,"Abilene, TX Metropolitan Statistical Area",
2651,Karnes County,Texas,2090,15233,,
2652,Kaufman County,Texas,558,"1,06,753","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2653,Kendall County,Texas,1277,35956,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2654,Kenedy County,Texas,3140,431,"Kingsville, TX Micropolitan Statistical Area","Corpus Christi-Kingsville-Alice, TX Combined Statistical Area"
2655,Kent County,Texas,3116,839,,
2656,Kerr County,Texas,986,49786,"Kerrville, TX Micropolitan Statistical Area",
2657,Kimble County,Texas,2866,4560,,
2658,King County,Texas,3141,276,,
2659,Kinney County,Texas,2935,3603,,
2660,Kleberg County,Texas,1390,32025,"Kingsville, TX Micropolitan Statistical Area","Corpus Christi-Kingsville-Alice, TX Combined Statistical Area"
2661,Knox County,Texas,2921,3789,,
2662,Lamar County,Texas,983,49811,"Paris, TX Micropolitan Statistical Area",
2663,Lamb County,Texas,2176,14008,,
2664,Lampasas County,Texas,1834,20107,"Killeen-Temple, TX Metropolitan Statistical Area",
2665,La Salle County,Texas,2671,7109,,
2666,Lavaca County,Texas,1858,19468,,
2667,Lee County,Texas,2002,16601,,
2668,Leon County,Texas,1995,16803,,
2669,Liberty County,Texas,716,76571,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2670,Limestone County,Texas,1660,23585,,
2671,Lipscomb County,Texas,2942,3480,,
2672,Live Oak County,Texas,2320,11664,,
2673,Llano County,Texas,1870,19085,,
2674,Loving County,Texas,3143,71,,
2675,Lubbock County,Texas,230,"2,85,760","Lubbock, TX Metropolitan Statistical Area","Lubbock-Levelland, TX Combined Statistical Area"
2676,Lynn County,Texas,2781,5783,"Lubbock, TX Metropolitan Statistical Area","Lubbock-Levelland, TX Combined Statistical Area"
2677,McCulloch County,Texas,2581,8313,,
2678,McLennan County,Texas,272,"2,38,707","Waco, TX Metropolitan Statistical Area",
2679,McMullen County,Texas,3127,726,,
2680,Madison County,Texas,2199,13677,,
2681,Marion County,Texas,2413,10324,,
2682,Martin County,Texas,2837,5017,"Midland, TX Metropolitan Statistical Area","Midland-Odessa, TX Combined Statistical Area"
2683,Mason County,Texas,2904,4003,,
2684,Matagorda County,Texas,1260,36547,"Bay City, TX Micropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2685,Maverick County,Texas,908,55365,"Eagle Pass, TX Micropolitan Statistical Area",
2686,Medina County,Texas,1033,46765,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",
2687,Menard County,Texas,3033,2240,,
2688,Midland County,Texas,432,"1,46,645","Midland, TX Metropolitan Statistical Area","Midland-Odessa, TX Combined Statistical Area"
2689,Milam County,Texas,1636,24157,,
2690,Mills County,Texas,2849,4828,,
2691,Mitchell County,Texas,2488,9336,,
2692,Montague County,Texas,1855,19565,,
2693,Montgomery County,Texas,138,"4,85,047","Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","Houston-The Woodlands, TX Combined Statistical Area"
2694,Moore County,Texas,1718,22313,"Dumas, TX Micropolitan Statistical Area",
2695,Morris County,Texas,2252,12787,,
2696,Motley County,Texas,3100,1202,,
2697,Nacogdoches County,Texas,798,66034,"Nacogdoches, TX Micropolitan Statistical Area",
2698,Navarro County,Texas,1013,47979,"Corsicana, TX Micropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2699,Newton County,Texas,2162,14200,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",
2700,Nolan County,Texas,2114,14924,"Sweetwater, TX Micropolitan Statistical Area",
2701,Nueces County,Texas,190,"3,47,691","Corpus Christi, TX Metropolitan Statistical Area","Corpus Christi-Kingsville-Alice, TX Combined Statistical Area"
2702,Ochiltree County,Texas,2379,10728,,
2703,Oldham County,Texas,3045,2060,"Amarillo, TX Metropolitan Statistical Area","Amarillo-Borger, TX Combined Statistical Area"
2704,Orange County,Texas,671,82977,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",
2705,Palo Pinto County,Texas,1501,27856,"Mineral Wells, TX Micropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2706,Panola County,Texas,1643,24020,,
2707,Parker County,Texas,509,"1,19,712","Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","Dallas-Fort Worth, TX-OK Combined Statistical Area"
2708,Parmer County,Texas,2425,10183,,
2709,Pecos County,Texas,2072,15619,,
2710,Polk County,Texas,1055,45656,,
2711,Potter County,Texas,500,"1,22,335","Amarillo, TX Metropolitan Statistical Area","Amarillo-Borger, TX Combined Statistical Area"
2712,Presidio County,Texas,2639,7525,,
2713,Rains County,Texas,2363,10943,,
2714,Randall County,Texas,491,"1,25,082","Amarillo, TX Metropolitan Statistical Area","Amarillo-Borger, TX Combined Statistical Area"
2715,Reagan County,Texas,2943,3475,,
2716,Real County,Texas,2950,3369,,
2717,Red River County,Texas,2262,12694,,
2718,Reeves County,Texas,2188,13798,"Pecos, TX Micropolitan Statistical Area",
2719,Refugio County,Texas,2656,7259,,
2720,Roberts County,Texas,3115,854,,
2721,Robertson County,Texas,2009,16545,"College Station-Bryan, TX Metropolitan Statistical Area",
